Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status,source_row_number,quality_flag
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-075,One time Project,,Completed,2025-09-27,2025-10-29,Purchase Order,2025-05-31,2025-06-03,OWNER_003,Mining,Raw images/videography,NONE,2026-01-14,SDPL/FY25-26/916,264398.08,311989.7344,,0.0,,264398.08,311989.7344,0.0,,,5360 HA,,5360.0,,,,,,,,Update Required,3,
Appa,WOCOMPANY_038,SDPLDEAL-101,Proof of Concept,,Not Started,,2025-07-31,Purchase Order,2025-08-11,2025-08-15,OWNER_002,Powerline,Powerline Inspection,,,,154150.0,181897.0,,0.0,,154150.0,181897.0,0.0,,,4,,4.0,,,,,Open,,,,4,
Sakura,WOCOMPANY_002,SDPLDEAL-002,Monthly Contract,Dec,Executed until current month,2025-12-31,2025-05-16,Purchase Order,2025-05-01,2026-04-30,OWNER_003,Mining,Volumetric survey,NONE,,,2984097.36,3521234.8848,23959.682484,28272.42533112,,2960137.677516,3492962.45946888,28272.42533112,,,3000,,3000.0,,,,,Open,,,Partially Billed,5,
Sakura,WOCOMPANY_002,SDPLDEAL-003,One time Project,,Completed,,2025-05-08,Purchase Order,2025-05-20,2025-05-31,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-09-15,SDPL/FY25-26/449,184980.0,218276.4,184980.0,218276.4,66880.1356,0.0,0.0,151396.2644,,,600,,600.0,Not billed yet,,,,Open,,,,6,
SpongeBob,WOCOMPANY_032,SDPLDEAL-004,One time Project,,Completed,,2025-05-06,LOA/LOI,2025-05-24,2025-06-20,OWNER_003,Powerline,Powerline Inspection,NONE,,,1132250.248,1336055.29264,1215157.54408,1433885.9020144,,-82907.29608,-97830.6093744,1433885.9020144,Priority,,59.33,,59.33,,,,,Open,,,Billed,7,billing_status_typo_corrected
Edward Elric,WOCOMPANY_008,SDPLDEAL-005,One time Project,,Completed,,2025-05-16,Purchase Order,2025-05-20,2025-05-31,OWNER_003,Renewables,Hydrology,NONE,2025-07-18,SDPL/FY25-26/359,135652.0,160069.36,135652.0,160069.36,160069.36,0.0,0.0,0.0,,,1,1.0,0.0,Fully Billed,,,,Closed,,,,8,
Pumbaa,WOCOMPANY_047,SDPLDEAL-001,Annual Rate Contract,June,Ongoing,,2025-05-15,Purchase Order,2025-05-19,2025-11-19,OWNER_005,Renewables,Others,SPECTRA,2025-09-06,SDPL/FY25-26/431,3995568.0,4714770.24,3662604.0,4321872.72,1405108.08,332964.0,392897.52,2916764.64,,,12,2.0,10.0,Partially Billed,,,,Open,,,,9,
Sakura,WOCOMPANY_002,SDPLDEAL-006,Monthly Contract,November,Executed until current month,,2025-05-21,Purchase Order,2025-05-01,2026-04-30,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-06-16,SDPL/FY25-26/064,727588.0,858553.84,151417.191804,178672.28632872,178672.182,576170.808196,679881.55367128,0.10432872,,,1600,,1600.0,Partially Billed,,,,Open,,,,10,
Sakura,WOCOMPANY_002,SDPLDEAL-007,Monthly Contract,Dec,Executed until current month,,2025-05-22,Purchase Order,2025-05-20,2026-04-30,OWNER_003,Mining,Topography Survey: RGB,NONE,2025-09-06,SDPL/FY25-26/435,2293752.0,2706627.36,1742808.443572,2056513.96341496,1225606.681988,550943.556428,650113.39658504,830907.28142696,,,4800,,4800.0,Partially Billed,,,,Open,,,,11,
Alias_160,WOCOMPANY_051,SDPLDEAL-008,One time Project,,Completed,2025-05-28,2025-04-10,Purchase Order,2025-04-20,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-23,SDPL/FY25-26/365,126649.64,149446.5752,81360.37,96005.2366,,45289.27,53441.3386,96005.2366,,447.170583,460,,460.0,Fully Billed,,July,,Closed,,,,12,
Alias_160,WOCOMPANY_051,SDPLDEAL-009,One time Project,,Completed,2025-05-30,2025-04-10,Purchase Order,2025-04-15,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/385,1198053.8,1413703.484,680159.917248,802588.70235264,397840.851528,517893.882752,611114.78164736,404747.85082464,,2424.42,2500,,2500.0,Fully Billed,,August,,Closed,,,,13,
Alias_160,WOCOMPANY_051,SDPLDEAL-010,One time Project,,Completed,2025-06-10,2025-04-10,Purchase Order,2025-04-14,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-27,SDPL/FY25-26/096,112652.82,132930.3276,112652.82,132930.3276,,0.0,0.0,132930.3276,,629.83,630,,630.0,Fully Billed,,June,,Closed,,,,14,
Alias_160,WOCOMPANY_051,SDPLDEAL-011,One time Project,,Completed,2025-05-20,2025-04-10,Purchase Order,2025-04-10,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/382,643730.4,759601.872,593662.48,700521.7264,641154.92346,50067.92,59080.1456,59366.80294,,3319.81,3600,,3600.0,Fully Billed,,August,,Closed,,,,15,
Alias_160,WOCOMPANY_051,SDPLDEAL-012,One time Project,,Completed,2025-06-17,2025-04-10,Purchase Order,2025-04-14,2025-06-16,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-23,SDPL/FY25-26/366,770750.0,909485.0,380158.564,448587.10552,371722.896396,390591.436,460897.89448,76864.2091239999,,2125.654959,2500,,2500.0,Fully Billed,,July,,Closed,,,,16,
Alias_160,WOCOMPANY_051,SDPLDEAL-013,One time Project,,Completed,2025-05-13,2025-04-10,Purchase Order,2025-04-15,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/383,214576.8,253200.624,172555.51,203615.5018,186359.876808,42021.29,49585.1222,17255.624992,,964.831248,1200,,1200.0,Fully Billed,,August,,Closed,,,,17,
Alias_160,WOCOMPANY_051,SDPLDEAL-014,One time Project,,Completed,2025-05-30,2025-04-10,Purchase Order,2025-04-09,2025-06-20,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-09-24,SDPL/FY25-26/475,250339.6,295400.728,177469.31872,209413.7960896,191666.4104,72870.28128,85986.9319104,17747.3856896,,922.484,1400,,1400.0,Fully Billed,,September,,Closed,,,,18,
Alias_160,WOCOMPANY_051,SDPLDEAL-015,One time Project,,Completed,2025-05-03,2025-04-10,Purchase Order,2025-04-22,2025-06-20,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/384,109791.796,129554.31928,109791.796,129554.31928,118573.90648,0.0,0.0,10980.4128,,613.57,614,,614.0,Fully Billed,,August,,Closed,,,,19,
Alias_160,WOCOMPANY_051,SDPLDEAL-016,One time Project,,Completed,2025-05-06,2025-04-10,Purchase Order,2025-04-25,2025-06-13,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-09-08,SDPL/FY25-26/437,210799.5084,248743.419912,210799.5084,248743.419912,189719.471236,0.0,0.0,59023.948676,Priority,1213.9,1178.88,,1178.88,Fully Billed,,September,,Closed,,,,20,
Alias_160,WOCOMPANY_051,SDPLDEAL-017,One time Project,,Completed,2025-05-13,2025-04-10,Purchase Order,2025-04-25,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-10,SDPL/FY25-26/133,62584.9,73850.182,62584.9,73850.182,67591.913976,0.0,0.0,6258.268024,,348.2,350,,350.0,Fully Billed,,July,,Closed,,,,21,
Alias_160,WOCOMPANY_051,SDPLDEAL-018,One time Project,,Completed,2025-05-06,2025-04-10,Purchase Order,2025-04-28,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-29,SDPL/FY25-26/099,260360.5832,307225.488176,260353.184,307216.75712,281181.833344,7.3992,8.731056,26034.923776,,1437.2,1456,,1456.0,Fully Billed,,July,,Closed,,,,22,
Alias_160,WOCOMPANY_051,SDPLDEAL-019,One time Project,,Completed,2025-06-14,2025-04-10,Purchase Order,2025-05-01,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-27,SDPL/FY25-26/110,157535.134,185891.45812,157399.23536,185731.0977248,185891.3348,135.89864,160.3603952,-160.2370752,,880.27,881,,881.0,Fully Billed,,July,,Closed,,,,23,negative_amount_receivable
Alias_160,WOCOMPANY_051,SDPLDEAL-020,One time Project,,Completed,2025-06-03,2025-04-10,Purchase Order,2025-05-02,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-19,SDPL/FY25-26/360,227987.85,269025.663,215828.498,254677.62764,233094.383216,12159.352,14348.03536,21583.244424,,1206.67,1275,1207.0,68.0,Fully Billed,,July,,Closed,,,,24,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-021,One time Project,,Completed,2025-06-24,2025-04-10,Purchase Order,2025-05-01,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-08,SDPL/FY25-26/399,151275.4108,178504.984744,125206.796,147744.01928,147743.526,26068.6148,30760.965464,0.49328,,383.54,446.07,,446.07,Fully Billed,,August,,Closed,,,,25,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-022,One time Project,,Completed,2025-05-07,2025-04-10,Purchase Order,2025-05-01,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-05,SDPL/FY25-26/143,1164911.55,1374595.629,1138011.7584,1342853.874912,1342853.6776,26899.7916,31741.754088,0.19731199987668,,3352.936219,3435,,3435.0,Fully Billed,,August,,Closed,,,,26,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-024,One time Project,,Completed,2025-06-07,2025-04-10,Purchase Order,2025-05-01,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/389,371860.3612,438795.226216,365246.7096,430991.117328,430990.772032,6613.6516,7804.108888,0.345296,,,662.27,,662.27,Fully Billed,,August,,Closed,,,,27,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-023,One time Project,,Completed,2025-06-24,2025-04-10,Purchase Order,2025-05-01,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-07,SDPL/FY25-26/394,440190.74,519425.0732,396450.3692,467811.435656,467810.7204,43740.3708,51613.637544,0.715256,,1073.63,1180,,1180.0,Fully Billed,,September,,Closed,,,,28,
Alias_160,WOCOMPANY_051,SDPLDEAL-025,One time Project,,Completed,2025-07-10,2025-04-10,Purchase Order,2025-05-07,2025-06-15,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-25,SDPL/FY25-26/371,170274.09,200923.4262,170274.09,200923.4262,,0.0,0.0,200923.4262,,952.24,952.24,,952.24,Fully Billed,,July,,Closed,,,,29,
Tanjiro,WOCOMPANY_005,SDPLDEAL-026,One time Project,,Completed,2025-06-11,2025-04-10,Purchase Order,2025-05-01,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-07,SDPL/FY25-26/395,183130.2,216093.636,179510.758,211822.69444,17951.6924,3619.442,4270.94156,193871.00204,,808.664192,825,,825.0,Fully Billed,,July,,Closed,,,,30,
Tanjiro,WOCOMPANY_005,SDPLDEAL-027,One time Project,,Completed,2025-06-16,2025-04-10,Purchase Order,2025-05-01,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-08,SDPL/FY25-26/398,937848.6,1106661.348,937848.6,1106661.348,,0.0,0.0,1106661.348,,4178.438199,4225,,4225.0,Fully Billed,,August,,Closed,,,,31,
Tanjiro,WOCOMPANY_005,SDPLDEAL-028,One time Project,,Completed,2025-06-16,2025-04-10,Purchase Order,2025-05-01,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-07,SDPL/FY25-26/396,355161.6,419090.688,336437.9244,396996.750792,,18723.6756,22093.937208,396996.750792,,1505.64583,1600,,1600.0,Fully Billed,,August,,Closed,,,,32,
Tanjiro,WOCOMPANY_005,SDPLDEAL-029,One time Project,,Completed,2025-06-13,2025-04-10,Purchase Order,2025-05-01,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/392,358830.86328,423420.4186704,358830.37,423419.8366,,0.49328,0.5820704,423419.8366,,1626.320549,1616.53,,1616.53,Fully Billed,,August,,Closed,,,,33,
Armin,WOCOMPANY_020,SDPLDEAL-030,One time Project,,Completed,2025-05-09,2025-04-10,Purchase Order,2025-04-15,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-24,SDPL/FY25-26/084,135488.711988,159876.68014584,135489.2176,159877.276768,159876.9808,-0.505612,-0.59662216,0.295968,,396.22,406,,406.0,Fully Billed,,June,,Closed,,,,34,
Armin,WOCOMPANY_020,SDPLDEAL-031,One time Project,,Completed,2025-05-09,2025-04-10,Purchase Order,2025-04-15,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-24,SDPL/FY25-26/086,236813.8624,279440.357632,236813.8624,279440.357632,4737.9544,0.0,0.0,274702.403232,,705.02,711.23,,711.23,Fully Billed,,June,,Closed,,,,35,
